05-24 16:33:04.126 192.168.1.31:54321    32050  #r thread INFO: ----- H2O started  -----
05-24 16:33:04.155 192.168.1.31:54321    32050  #r thread INFO: Build git branch: rel-ueno
05-24 16:33:04.155 192.168.1.31:54321    32050  #r thread INFO: Build git hash: 4ee79d6cb840d66d9835f499e40af4867a3c8eb1
05-24 16:33:04.155 192.168.1.31:54321    32050  #r thread INFO: Build git describe: jenkins-3.10.4.6-2-g4ee79d6
05-24 16:33:04.155 192.168.1.31:54321    32050  #r thread INFO: Build project version: 3.10.4.7 (latest version: 3.10.4.8)
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Build age: 16 days
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Built by: 'jenkins'
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Built on: '2017-05-08 14:22:29'
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Watchdog Build git branch: (unknown)
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Watchdog Build git hash: (unknown)
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Watchdog Build git describe: (unknown)
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Watchdog Build project version: (unknown)
05-24 16:33:04.156 192.168.1.31:54321    32050  #r thread INFO: Watchdog Built by: (unknown)
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: Watchdog Built on: (unknown)
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: Processed H2O arguments: [-name, sparkling-water-josh_1050852703, -ga_opt_out, -log_level, INFO, -baseport, 54321, -ip, 192.168.1.31, -log_dir, /home/josh/IdeaProjects/GLRMTest1/h2ologs]
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: Java availableProcessors: 4
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: Java heap totalMemory: 149.5 MB
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: Java heap maxMemory: 1.71 GB
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: Java version: Java 1.8.0_131 (from Oracle Corporation)
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: JVM launch parameters: [-javaagent:/home/josh/Downloads/idea-IC-171.4249.39/lib/idea_rt.jar=44498:/home/josh/Downloads/idea-IC-171.4249.39/bin, -Dfile.encoding=UTF-8]
05-24 16:33:04.157 192.168.1.31:54321    32050  #r thread INFO: OS version: Linux 4.4.0-78-generic (amd64)
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: Machine physical memory: 7.70 GB
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: X-h2o-cluster-id: 1495614781060
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: User name: 'josh'
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: Opted out of sending usage metrics.
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: IPv6 stack selected: false
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: Possible IP Address: ppp0 (ppp0), 10.10.0.9
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: Network interface is down: name:docker0 (docker0)
05-24 16:33:04.158 192.168.1.31:54321    32050  #r thread INFO: Possible IP Address: enp2s0 (enp2s0), fe80:0:0:0:8c66:f892:b95:3fba%enp2s0
05-24 16:33:04.159 192.168.1.31:54321    32050  #r thread INFO: Possible IP Address: enp2s0 (enp2s0), 192.168.1.31
05-24 16:33:04.159 192.168.1.31:54321    32050  #r thread INFO: Possible IP Address: lo (lo), 0:0:0:0:0:0:0:1%lo
05-24 16:33:04.159 192.168.1.31:54321    32050  #r thread INFO: Possible IP Address: lo (lo), 127.0.0.1
05-24 16:33:04.159 192.168.1.31:54321    32050  #r thread INFO: H2O node running in unencrypted mode.
05-24 16:33:04.180 192.168.1.31:54321    32050  #r thread INFO: Internal communication uses port: 54322
05-24 16:33:04.180 192.168.1.31:54321    32050  #r thread INFO: Listening for HTTP and REST traffic on http://192.168.1.31:54321/
